Feature,Description
feature_full_road_diversity,Area under the curve - curvature ratio
feature_mean_road_diversity,Average value of - curvature ratio
feature_direct_distance,Direct distance
feature_max_angle,Maximum value of all angles in the road
feature_max_pivot_off,Maximum value of radius of all turns of the road
feature_mean_angle,Average value of all angles in the road
feature_mean_pivot_off,Average value of radius of all turns of the road
feature_median_angle,Median value of all angles in the road
feature_median_pivot_off,Median value of radius of all turns of the road
feature_min_angle,Minimum value of any angle in the road
feature_min_pivot_off,Minimum value of radius of any turn of the road
feature_num_l_turns,Number of left turns
feature_num_r_turns,Number of right turns
feature_num_straights,Number of straight segments
feature_road_distance,Road  distance
feature_std_angle,Standard deviation of all angles in the road
feature_std_pivot_off,Standard deviation of radius of all turns of the road
feature_total_angle,Sum of all angles in the road
