steering_std,steering_min,steering_input_max,altitude_max,esc_std,full_road_diversity,max_angle,min_angle,road_distance,std_angle,outcome
1.089079291,-1.362611817,1.325819098,1.013553667,-0.837390328,0.259337457,-0.613953792,0.542352162,0.643321283,-0.629423845,0
0.141299179,0.051734358,0.154140329,-0.474895837,0.019373238,-0.509801653,2.46703116,-1.4993327,0.304062619,1.523686122,0
-1.181665627,0.932963993,-1.021867269,-0.954786196,0.284889628,0.181839227,0.083552115,-1.421026006,0.640771104,1.015157982,0
-0.602681969,0.914489698,-0.99181582,-0.789263635,-1.612319955,-0.099290403,-0.133520123,-1.311334412,0.810389256,0.869526305,0
0.526048175,0.665885307,-0.612963948,-1.11566529,0.194282964,-0.097003867,0.174191899,-1.64792718,0.313616852,1.075169868,0
-0.459477672,-0.062909719,0.275699408,0.917759625,-1.266729093,-0.388859521,-0.592764783,0.593153754,0.802326807,-0.611923275,0
0.590169833,-0.330934508,0.538167175,0.421353006,-1.612319955,0.496232375,-0.235957704,0.393985552,0.64410764,-0.236949484,0
0.162656739,0.462391393,-0.334724581,-0.661004864,0.117803441,-0.108002393,-0.058784117,-1.219524988,1.135810074,0.690123002,0
1.504159007,-2.15074988,1.750418618,-2.184340062,-1.612319955,1.38467992,1.004189607,-1.201318226,1.609001694,0.97175607,0
-0.769355974,0.730752082,-0.70743798,-1.179262858,-0.098749579,0.425802016,0.417251539,-1.517669571,1.612657298,0.764458949,0
-1.461204819,0.832376948,-0.861544819,-0.275868155,-1.612319955,-0.278880848,-0.470137619,0.806502321,0.298338346,-0.874829565,0
-0.891640671,0.731353529,-0.708327814,0.081365315,0.585528021,-0.501591035,-0.312290394,0.76892517,0.301168548,-0.604917413,0
0.403844901,-0.014279309,0.224857481,-0.406358169,-0.597219971,0.563997924,0.667092544,0.67528828,0.482756934,-0.093471855,0
1.45388993,-2.15074988,1.750418618,-2.218967502,-1.612319955,0.263498309,-0.793443819,0.3898474,0.975798758,-0.548712065,0
-2.666229112,1.638171196,-3.15390208,-2.385217971,-1.612319955,0.903770599,0.659405928,-1.514368693,1.764792772,0.913017611,0
-0.696123133,0.83341453,-0.863158097,-0.485788727,0.876166559,0.504075322,0.246066009,0.844716143,1.760301447,-0.585487262,0
0.185994256,-0.261171688,0.472610576,-0.388900417,-1.612319955,-0.337358608,-0.124309151,-1.554044363,0.474523521,0.991057895,0
-1.65585917,0.994199322,-1.11711563,-1.217457958,-1.612319955,0.479238051,-0.227573403,0.527700074,1.451560988,-0.401857252,0
1.404874113,-0.18185687,0.395771305,1.636664418,-1.161198939,0.732769589,0.1835373,-1.585379067,0.65558361,1.128295331,0
-1.372688935,1.113371225,-1.330642493,-1.148453683,-0.351315646,0.279746816,0.08378113,-1.643450772,1.444586532,0.998968728,0
-0.081194332,0.108297237,0.091935558,-0.503640176,-1.612319955,-0.938182016,2.46703116,-1.68237335,0.302168205,1.354465254,0
-2.68667463,0.338551077,-0.717692107,-2.343906951,-1.612319955,0.90713059,2.221878692,0.346622947,0.484479677,0.99717313,0
0.326072791,0.172735124,0.019189449,-0.348010385,-1.612319955,0.283012805,-0.21652865,-1.060742522,0.311802731,0.800664543,0
1.209404021,-1.250957418,1.254543992,1.051555599,0.166279199,1.868253673,0.115947612,0.033438959,1.608921824,0.259356879,0
0.10463939,0.29141052,-0.120288267,-0.743886706,-0.216162596,0.449156187,0.497224738,-1.289484218,0.479882903,1.066408305,0
-0.931736128,0.258323311,-0.080662404,0.351706362,-1.612319955,-0.270338589,-0.828932623,0.603239299,0.300024395,-0.699254729,0
0.091007066,0.90605866,-0.978193512,-0.732005866,0.156963719,-0.51860674,-0.208890703,-1.493311719,0.30987086,1.045477354,0
-1.477207333,1.048802939,-1.188900831,-1.06974958,0.492259709,0.598044655,-0.178609771,-1.25222562,0.303403143,1.205090273,0
-0.143054851,0.88884149,-0.950552725,-0.976912321,0.360182132,-0.570056315,-0.09826267,-1.49686719,0.304936255,1.039233352,0
-0.417497959,0.47998428,-0.357751447,-1.017903188,-1.612319955,0.408423903,0.137746722,-1.460536669,0.648161727,1.067513671,0
-1.15019466,0.999920057,-1.133157789,-1.111921932,0.227339958,1.078966524,0.541618736,-1.57323111,0.810443757,1.318705211,0
-1.647630036,1.051805212,-1.188908394,-1.293158723,0.000935724,1.328114435,0.576403607,-1.639411457,0.645198422,1.331026303,0
0.949678312,0.057279757,0.148108499,0.246806499,-0.289051338,0.650157074,-0.319733883,-1.03766812,0.478048977,0.952719367,0
0.199387173,0.103103537,0.097710774,-0.351262641,-0.571825211,0.342874241,-0.342907165,-1.123222365,0.645957906,0.821106967,0
0.884258115,-2.15074988,1.750418618,-2.140463517,-1.612319955,1.670865396,2.46703116,-0.296013298,0.322430207,1.597468796,0
0.206259192,-0.347316546,0.55329448,0.833630354,-0.058215367,-0.083978924,-0.428738749,0.613161416,0.638783665,-0.499336145,0
1.247800873,-2.15074988,1.750418618,-2.158066419,-1.612319955,0.584471331,0.715595472,-1.49606398,1.297155669,0.929843815,0
0.101961179,0.618207523,-0.545367428,-0.673822218,-1.612319955,-0.520690192,-0.197196394,-1.478262287,0.310227448,0.983280297,0
-1.488602564,0.914903064,-0.992485186,-0.987259273,-1.612319955,-0.010292383,-0.336036454,-1.590222077,0.469107008,1.435784647,0
-0.270716733,0.970202785,-1.065566492,-1.160944782,0.119645912,0.105442975,-0.136773886,-1.430513507,0.647185181,0.974164861,0
-0.780794198,1.031038833,-1.163187296,-1.037769979,-0.500413999,0.256263543,0.276353098,-1.552928586,0.648573158,1.112024299,0
-0.5641686,0.997275756,-1.283396273,-1.348571471,-1.612319955,1.115969652,0.527721615,-1.609802196,0.984976485,1.18700904,0
-0.344108166,-0.609679111,0.782561119,2.07388156,-0.390418971,0.533100107,2.46703116,0.49665271,1.132546048,1.053406696,0
1.210406466,1.283173448,-2.38597052,-2.268914887,-1.612319955,1.631509668,2.46703116,0.132837109,1.293530846,1.215753583,0
-1.080827063,1.040082997,-1.201754868,-1.224100665,-1.612319955,0.878931737,0.327916955,-1.027247748,0.483692604,1.059371849,0
0.292049037,1.013037871,-1.115107417,-1.085781971,-1.612319955,1.361708154,0.711204081,-1.481264055,1.609934872,1.010838504,0
-0.811338414,0.942405514,-1.037333425,-1.00691396,-0.480424834,0.840048749,0.581329026,0.751826967,0.306980247,-0.126214425,0
0.727076861,0.022276833,0.185942835,-0.533886419,-1.296051269,-0.183934681,-0.146897103,-1.313078221,0.310283911,0.910079621,0
-0.974702899,0.983447637,-1.097098829,-1.206224168,-1.612319955,0.732324769,0.631669723,-1.540723027,0.649897066,1.136014119,0
-0.118536708,0.387451168,-0.23869004,0.379823271,0.01416037,0.977469313,2.46703116,-0.839231305,0.969818578,1.420176454,0
-1.505629878,1.141409043,-1.336909369,-1.330179029,-1.612319955,1.356920673,0.461836545,-0.794258199,0.652851202,0.958388244,0
-0.921023692,0.997826084,-1.129619785,-1.20417046,-0.249316463,0.630663708,-0.097797501,-0.940559554,1.454142045,0.619826429,0
-0.785071245,0.442624254,-0.309073063,-0.722784041,-1.612319955,0.402100622,-0.245369516,0.523051209,1.761725672,-0.3977819,0
-1.734882262,0.942413221,-1.004812549,-1.205441309,-1.612319955,1.499723627,2.46703116,-1.65443716,1.143721213,1.613179541,0
-1.417026218,0.350749452,-0.188817207,1.084333921,-1.612319955,0.019892091,2.46703116,0.453824013,0.81881531,0.936382314,0
0.147730344,-1.012683299,1.092284339,1.095283795,-0.682821008,0.935413916,-0.848774391,0.306048421,0.646847587,-0.242236609,0
-0.922610029,0.937891748,-1.029930259,-1.08508318,-0.481577031,2.239044553,1.725336641,-1.527135624,0.977627596,1.328280304,0
-2.68667463,2.206608168,-3.05449335,-2.392959224,-1.612319955,1.912822084,0.592542332,-0.470609853,0.487972504,1.00395395,0
-0.333546074,0.398643948,-0.252825782,0.057742301,1.344167676,1.290093018,0.330416761,-1.576882203,0.966781842,1.348904031,0
-1.040421464,0.992829181,-1.119969267,-1.189687838,-1.000306722,0.022107205,0.085092158,-1.532764578,0.6470191,0.962069528,0
-0.722907481,0.642985464,-0.580305944,2.403505301,-1.124484885,0.427263753,0.135484453,0.744714589,1.440124945,-0.427146787,0
-1.018112935,1.014164163,-1.151125936,-1.38051879,0.077014142,1.072335907,0.625153267,-1.515710369,0.310081135,1.294124174,0
0.202387191,1.049267659,-1.188085282,-1.270710487,0.223343873,0.765561542,0.404247276,-1.484243805,0.311844634,1.179153201,0
1.0459133,-0.457996713,0.652929944,0.514349432,0.187185241,0.353955712,-0.162563293,-1.524535446,0.812205229,0.897305417,0
