Row,steering_std,steering_min,steering_input_max,altitude_max,esc_std,full_road_diversity,max_angle,min_angle,road_distance,std_angle
mt/set_14/frenetic_v/test-709,162.8389421,-510,1,-27.79466478,0,319.4560673,69.86933155,-326.6437741,235.4096191,104.7397617
mt/set_14/frenetic_v/test-331,58.15726542,-4.254840902,0.008342825,-27.77131333,0,93.45941541,45.45463477,-312.2026524,157.2741054,110.4237222
mt/set_14/frenetic_v/test-394,48.52300531,-84.89312444,0.166457107,-27.76410213,0.253395491,87.25465253,19.22736073,-32.41304465,138.152011,18.50052968
mt/set_14/frenetic_v/test-376,51.6202349,-32.90415435,0.06451795,-27.76828406,0.225462361,137.8853856,54.60727398,-321.6391892,176.836439,108.8182913
mt/set_14/frenetic_v/test-173,55.49164093,-39.29488878,0.077048802,-27.7743618,0,141.8280003,47.10125733,-312.7344708,137.4651547,117.3869859
mt/set_14/frenetic_v/test-450,42.12985851,-128.8325683,0.28512734,-27.77262179,0.238914346,173.3913374,44.36582938,-341.6416818,147.852499,149.3232876
mt/set_14/frenetic_v/test-718,42.70864633,-1.422902502,0.00321192,-27.77625132,0.131513024,546.2043091,87.8358076,-2.057817138,205.6649437,34.45523695
mt/set_14/frenetic_v/test-748,53.37917346,-14.58711004,0.028602177,-27.76740026,0,556.9845913,40.15338545,-260.1636549,226.2346494,92.57049008
mt/set_14/frenetic_v/test-165,54.73216918,-92.79612257,0.181953182,-27.76840488,0.200973823,150.1319966,32.99574911,-18.58594075,138.0899702,17.75885912
mt/set_14/frenetic_v/test-639,35.21885385,-40.88358105,0.080163884,-27.77500926,0.258040251,138.1829643,43.19791479,-7.969771563,207.130259,14.53065373
mt/set_14/frenetic_v/test-12,106.3339828,-261.6936777,0.513124858,-27.76040921,0.168957725,254.364826,17.87433534,-83.07481776,147.267816,34.00826599
mt/set_14/frenetic_v/test-489,74.7717417,-149.1104363,0.292373404,-27.76965144,0,287.1254203,61.49207407,-351.2180131,177.2719984,131.124811
mt/set_14/frenetic_v/test-309,63.36794335,-24.83768997,0.048701353,-27.76577732,0,222.2362965,20.46201729,-268.2684925,177.261416,102.9106195
mt/set_14/frenetic_v/test-635,68.17414919,-67.356864,0.132072282,-27.77145642,0.171002005,156.2093995,27.69371598,-285.9584152,137.4353266,114.2928774
mt/set_14/frenetic_v/test-293,34.40387959,-83.54338033,0.16381055,-27.76071978,0.249443826,220.0438236,-7.926641839,-35.38370317,158.175622,15.50303637
mt/set_14/frenetic_v/test-749,85.32292958,-150.4973149,0.295092774,-27.76457983,0.220572443,176.7493701,53.43246377,-345.3960472,186.7150641,105.6277883
mt/set_14/frenetic_v/test-427,111.16375,-202.4472109,0.396955315,-27.76126821,0.144606191,197.3701421,61.00534512,-316.3243172,166.2919087,108.9551444
mt/set_14/frenetic_v/test-534,87.06946226,-192.0335104,0.376536295,-27.75576779,0.243154947,210.0486968,26.17407025,-51.66740391,167.5171035,29.02581907
mt/set_14/frenetic_v/test-68,58.87291533,-3.861149546,0.009702235,-27.77708707,0.254754678,202.0788575,74.62413336,-358.2735267,147.159631,130.7479768
mt/set_14/frenetic_v/test-330,51.25994625,-1.098080501,0.002153099,-27.77273329,0,462.597504,119.4678178,-345.7672349,137.3169474,148.997027
mt/set_14/frenetic_v/test-512,90.16583375,-3.049290063,0.006124782,-27.7724039,0.200829306,132.8238809,50.16137655,-331.4694742,206.1757779,90.36619916
mt/set_14/frenetic_v/test-737,126.08844,-195.2128655,0.382770324,-27.75989789,0.300636901,647.4322678,56.10041126,-103.0891649,146.6344073,53.97900447
mt/set_14/frenetic_v/test-152,163.6245182,-81.75550461,-0.060283328,-27.79514606,0,244.3504942,352.9199605,-62.28868442,146.6822584,140.1637379
mt/set_14/frenetic_v/test-674,57.18317514,-10.21227688,0.020024072,-27.77189442,0.068679511,381.694619,123.0923384,-293.1982099,136.7497943,158.9996635
mt/set_13/frenetic/test-65,123.3755857,-510,1,-27.79335847,0,239.8099539,353.2059631,-351.3651389,139.7322956,192.5674217
mt/set_13/frenetic/test-367,0,-169.4045273,0.211103953,-27.79861335,0,993.8268416,332.7382876,-184.5137217,159.6202995,157.2893835
mt/set_13/frenetic/test-259,85.50985728,-93.04948977,0.18244998,-27.76657779,0.157278512,110.7855786,46.18122977,-340.6631236,129.3403735,120.8681688
mt/set_13/frenetic/test-887,92.68340094,-76.57371978,0.150144549,-27.76976229,0.228210657,102.4990216,53.23315349,-9.461749399,178.8418821,21.20892178
mt/set_13/frenetic/test-462,60.75646044,-16.70371863,0.032752389,-27.77296882,0,96.02732308,47.48554372,-328.0367806,149.2136677,111.5319578
mt/set_13/frenetic/test-75,59.35758624,-0.948388267,0.002272331,-27.77466999,0,426.9420113,102.9658118,-4.91448017,159.5630079,41.98660529
mt/set_13/frenetic/test-275,113.1392417,-127.8819567,0.250748935,-27.7644693,0.164653214,175.4244219,73.56874627,-324.8970631,159.7980092,108.9379345
mt/set_13/frenetic/test-276,54.77862906,0,0.000703429,-27.77402342,0.182087583,114.5493391,44.01557432,-337.3093354,149.3630537,109.5831043
mt/set_13/frenetic/test-254,38.30864344,-0.078144272,0.002010989,-27.77734824,0,343.9664196,47.66182136,-242.1496949,139.5106211,95.06651119
mt/set_13/frenetic/test-219,59.18969014,-88.0884564,0.172722464,-27.77502658,0.256975198,156.2814084,45.99299237,-317.7736642,158.8961641,106.1641306
